"","HUC12","Total_Accum_Vol","contrib_HUCs_count","contrib_HUCs"
"79","171100070101",88769.35,1,"171100070101"
"80","171100070102",192778.88,2,"171100070102-171100070101"
"81","171100070103",67443.68,1,"171100070103"
"82","171100070104",10136759.26,41,"171100070104-171100051104-171100070102-171100070103-171100051007-171100051101-171100051102-171100051103-171100060405-171100070101-171100050905-171100060404-171100050805-171100050901-171100050903-171100050904-171100060305-171100060401-171100060402-171100060403-171100050804-171100050708-171100050902-171100060303-171100060304-171100060106-171100050802-171100050803-171100060205-171100060301-171100060302-171100060102-171100060103-171100060105-171100050801-171100060202-171100060203-171100060204-171100060101-171100060104-171100060201"
"83","171100070105",10374945.22,42,"171100070105-171100070104-171100051104-171100070102-171100070103-171100051007-171100051101-171100051102-171100051103-171100060405-171100070101-171100050905-171100060404-171100050805-171100050901-171100050903-171100050904-171100060305-171100060401-171100060402-171100060403-171100050804-171100050708-171100050902-171100060303-171100060304-171100060106-171100050802-171100050803-171100060205-171100060301-171100060302-171100060102-171100060103-171100060105-171100050801-171100060202-171100060203-171100060204-171100060101-171100060104-171100060201"
"84","171100070106",108225.2,1,"171100070106"
"85","171100070107",10767772.34,44,"171100070107-171100070105-171100070106-171100070104-171100051104-171100070102-171100070103-171100051007-171100051101-171100051102-171100051103-171100060405-171100070101-171100050905-171100060404-171100050805-171100050901-171100050903-171100050904-171100060305-171100060401-171100060402-171100060403-171100050804-171100050708-171100050902-171100060303-171100060304-171100060106-171100050802-171100050803-171100060205-171100060301-171100060302-171100060102-171100060103-171100060105-171100050801-171100060202-171100060203-171100060204-171100060101-171100060104-171100060201"
"86","171100070201",92752.6,1,"171100070201"
"87","171100070202",228144.84,2,"171100070202-171100070201"
"88","171100070203",11087254.33,47,"171100070203-171100070107-171100070202-171100070105-171100070106-171100070201-171100070104-171100051104-171100070102-171100070103-171100051007-171100051101-171100051102-171100051103-171100060405-171100070101-171100050905-171100060404-171100050805-171100050901-171100050903-171100050904-171100060305-171100060401-171100060402-171100060403-171100050804-171100050708-171100050902-171100060303-171100060304-171100060106-171100050802-171100050803-171100060205-171100060301-171100060302-171100060102-171100060103-171100060105-171100050801-171100060202-171100060203-171100060204-171100060101-171100060104-171100060201"
"89","171100070204",11412144.61,48,"171100070204-171100070203-171100070107-171100070202-171100070105-171100070106-171100070201-171100070104-171100051104-171100070102-171100070103-171100051007-171100051101-171100051102-171100051103-171100060405-171100070101-171100050905-171100060404-171100050805-171100050901-171100050903-171100050904-171100060305-171100060401-171100060402-171100060403-171100050804-171100050708-171100050902-171100060303-171100060304-171100060106-171100050802-171100050803-171100060205-171100060301-171100060302-171100060102-171100060103-171100060105-171100050801-171100060202-171100060203-171100060204-171100060101-171100060104-171100060201"
