FID,OBJECTID,HUC12,TOHUC,AREASQKM,contrib_HUCs_count,Total_area,Total_Med_Vol,Model_Med_vol,Pred_Med_Vol,Vol_upstrmHUC
72,89072,171100060305,171100060404,122.87,10,891.48,186684.76,0,186684.76,1318729.17
73,89073,171100060401,171100060404,52.18,7,671.91,80202.57,0,80202.57,997729.75
74,89074,171100060402,171100060404,75.39,1,75.39,109382.33,109382.3274,115302.98,115302.98
75,89075,171100060403,171100060404,43.29,1,43.29,66706.3,0,66706.3,66706.3
76,89076,171100060404,171100060405,97.48,20,1779.55,148571.56,0,148571.56,2607963.58
77,89077,171100060405,171100051104,117.31,21,1896.86,178348.53,0,178348.53,2777488.81
78,89078,171100070101,171100070102,71.87,1,71.87,88769.35,88769.35021,109990.4,109990.4
79,89079,171100070102,171100070104,67.91,2,139.78,104009.53,0,104009.53,212007.9
80,89080,171100070103,171100070104,46.85,1,46.85,67443.68,67443.68311,72114.99,72114.99
81,89081,171100070104,171100070105,92.12,82,7382.51,140509.49,0,140509.49,10613382.23
82,89082,171100070105,171100070107,157.29,83,7539.8,238185.96,0,238185.96,10836423.87
83,89083,171100070106,171100070107,90.04,1,90.04,108225.2,108225.1968,137379.24,137379.24
84,89084,171100070107,171100070203,188.4,85,7818.24,284601.92,0,284601.92,11231106.42
85,89085,171100070201,171100070202,94.24,1,94.24,92752.6,92752.5963,143698.96,143698.96
86,89086,171100070202,171100070203,88.72,2,182.96,135392.24,0,135392.24,276493.46
87,89087,171100070203,171100070204,59.53,88,8060.73,91337.15,0,91337.15,11574675.81
88,89088,171100070204,171100191100,215.46,89,8276.19,324890.28,0,324890.28,11879830.85
