FID,OBJECTID,OBJECTID,HUC12,TOHUC,AREASQKM,contrib_HUCs_count,Total_area,Total_Med_Vol,Modeled_Median_vol,Pred_Med_Vol,Vol_upstreamHUCarea
60,89060,89060,1.711E+11,1.711E+11,99.62,1,99.62,151788.68,0,151788.6767,151788.6767
61,89061,89061,1.711E+11,1.711E+11,121.17,2,220.79,184136.46,0,184136.46,332817.5301
62,89062,89062,1.711E+11,1.711E+11,79.76,6,619.73,121893.78,0,121893.7847,921251.699
63,89063,89063,1.711E+11,1.711E+11,100.93,1,100.93,153757.57,0,153757.573,153757.573
64,89064,89064,1.711E+11,1.711E+11,115.82,2,216.75,176113.64,0,176113.642,326809.1248
65,89065,89065,1.711E+11,1.711E+11,85.78,1,85.78,130965.18,0,130965.1806,130965.1806
66,89066,89066,1.711E+11,1.711E+11,92.52,1,92.52,141111.35,0,141111.354,141111.354
67,89067,89067,1.711E+11,1.711E+11,82.58,5,477.63,126144.29,0,126144.2861,712515.5982
68,89068,89068,1.711E+11,1.711E+11,45.49,1,45.49,70049.43,0,70049.4271,70049.42705
69,89069,89069,1.711E+11,1.711E+11,87.18,1,87.18,133073.55,0,133073.5531,133073.5531
70,89070,89070,1.711E+11,1.711E+11,102.64,8,712.94,156327.14,0,156327.1407,1057809.06
71,89071,89071,1.711E+11,1.711E+11,55.67,1,55.67,86132.96,86132.9582,85492.0735,85492.07352
72,89072,89072,1.711E+11,1.711E+11,122.87,10,891.48,186684.76,0,186684.7553,1318729.172
73,89073,89073,1.711E+11,1.711E+11,52.18,7,671.91,80202.57,0,80202.5701,997729.7465
74,89074,89074,1.711E+11,1.711E+11,75.39,1,75.39,109382.33,109382.3274,115302.9778,115302.9778
75,89075,89075,1.711E+11,1.711E+11,43.29,1,43.29,66706.3,0,66706.3026,66706.30259
76,89076,89076,1.711E+11,1.711E+11,97.48,20,1779.55,148571.56,0,148571.5577,2607963.585
77,89077,89077,1.711E+11,1.711E+11,117.31,21,1896.86,178348.53,0,178348.5273,2777488.81
78,89078,89078,1.711E+11,1.711E+11,71.87,1,71.87,88769.35,88769.3502,109990.3964,109990.3964
79,89079,89079,1.711E+11,1.711E+11,67.91,2,139.78,104009.53,0,104009.5317,212007.8998
80,89080,89080,1.711E+11,1.711E+11,46.85,1,46.85,67443.68,67443.6831,72114.9873,72114.98731
81,89081,89081,1.711E+11,1.711E+11,92.12,82,7382.51,140509.49,0,140509.4931,10613382.23
82,89082,89082,1.711E+11,1.711E+11,157.29,83,7539.8,238185.96,0,238185.9627,10836423.87
83,89083,89083,1.711E+11,1.711E+11,90.04,1,90.04,108225.2,108225.1968,137379.2443,137379.2443
84,89084,89084,1.711E+11,1.711E+11,188.4,85,7818.24,284601.92,0,284601.9177,11231106.42
85,89085,89085,1.711E+11,1.711E+11,94.24,1,94.24,92752.6,92752.5963,143698.9573,143698.9573
86,89086,89086,1.711E+11,1.711E+11,88.72,2,182.96,135392.24,0,135392.2352,276493.4575
87,89087,89087,1.711E+11,1.711E+11,59.53,88,8060.73,91337.15,0,91337.1516,11574675.81
88,89088,89088,1.711E+11,1.711E+11,215.46,89,8276.19,324890.28,0,324890.2822,11879830.85
